Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
ABE'S GARDEN/PARK MANOR APARTMENTS,115 WOODMONT BOULEVARD,Nashville,TN,37205,Christopher Simon Coelho,615-383-7303,ABE'S GARDEN,115 Woodmont Boulevard,Nashville,TN,37205,615-997-3030,00000353,Licensed,0064,11/24/2015,08/14/2012,08/14/2020,No Disciplinary Actions
ADAMS PLACE,1927 MEMORIAL BLVD,Murfreesboro,TN,37129,Marie E. Littrell,615-904-2449,"ADAMS PLACE, LLC",1927 MEMORIAL BLVD,Murfreesboro,TN,37129,615-904-2449,00000169,Licensed,0149,05/09/2018,07/01/1999,05/04/2020,1 Disciplinary Action(s)
Alexander Guest House,83 Kentucky Avenue,Oak,"Ridge,",TN,Amy Duncan,865-294-5489,"ALEXANDER PROPERTIES, LLC",3651 PEACHTREE PARKWAY Suite E-351,Suwanee,GA,30024,678-341-1347,00000444,Licensed,0074,06/24/2019,11/16/2015,11/15/2019,No Disciplinary Actions
ALEXANDRIA PLACE,108 PHYSICIANS DRIVE,Jackson,TN,38305,Jennifer Brewer,731-664-6099,"JACKSON RESIDENTIAL, LLC",108 PHYSICIANS DRIVE,Jackson,TN,38305,731-664-1965,00000021,Licensed,0050,07/10/2018,07/01/1998,07/15/2020,No Disciplinary Actions
ALEXIAN VILLAGE OF TENNESSEE,622 ALEXIAN WAY,Signal,"Mountain,",TN,Terry Lavern Thompkins,423-517-9600,ALEXIAN VILLAGE OF TENNESSEE,437 ALEXIAN WAY,Signal,"Mountain,",TN,423-886-0100,00000387,Licensed,0070,06/25/2019,09/30/2014,09/29/2020,1 Disciplinary Action(s)
Apple Grove Alzheimer's and Dementia Residence,3575 HACKS CROSS ROAD,Memphis,TN,38125,Mary Ann Apple,901-755-1244,APPLE GROVE LLC,3575 HACKS CROSS ROAD,Memphis,TN,38125,901-755-1244,00000301,Licensed,0049,02/13/2019,03/18/2009,05/21/2020,No Disciplinary Actions
ARBOR TERRACE OF KNOXVILLE,9051 CROSS PARK DRIVE,Knoxville,TN,37923,Karen Emerson,865-670-4111,"ARHC ATKNOTN01 TRS, LLC",500 N. HURSTBOURNE PARKWAY Suite 200,Louisville,KY,40222,502-357-9000,00000018,Licensed,0099,09/19/2016,07/01/1998,02/10/2020,No Disciplinary Actions
ARCADIA SENIOR LIVING CLARKSVILLE,175 CHESAPEAKE DRIVE,Clarksville,TN,37040,Jacqueline Stone,931-919-2668,"Arcadia of Clarksville, LLC",4360 Brownsboro Road Suite 203,Louisville,KY,40207,502-357-7030,00000458,Licensed,0079,04/09/2019,06/04/2018,06/03/2020,No Disciplinary Actions
ASBURY COVE,315 ASBURY AVENUE,Ripley,TN,38063,STEPHANIE ETHERIDGE,731-635-3200,"RIPLEY RESIDENTIAL, LLC",315 ASBURY AVENUE,Ripley,TN,38063,731-635-3200,00000195,Licensed,0038,01/23/2019,07/03/2000,06/12/2020,1 Disciplinary Action(s)
ASBURY PLACE AT STEADMAN HILL,1300 BLOOMINGDALE PIKE,Kingsport,TN,37660,Tammy McKinney,423-245-1067,"ASBURY, INC",20030 CENTURY BLVD SUITE 300,Germantown,MD,20784,301-250-2100,00000033,Licensed,0058,07/18/2018,03/31/2020,07/09/1998,No Disciplinary Actions
ASBURY PLACE MARYVILLE,2648 SEVIERVILLE ROAD,Maryville,TN,37804,Carla J. Rafferty,865-984-1660,ASBURY INC,911 EPWORTH ROAD,Maryville,TN,37804,865-238-8300,00000224,Licensed,0143,02/06/2019,03/31/2020,05/25/2001,No Disciplinary Actions
ASSISTED LIVING AT STANDIFER PLACE,2636 WALKER ROAD,Chattanooga,TN,37421,Ken Stonerook,423-490-2188,"MATURECARE OF STANDIFER PLACE, LLC",2626 WALKER ROAD,Chattanooga,TN,37421,423-490-1599,00000226,Licensed,0074,07/26/2018,03/19/2001,05/22/2020,No Disciplinary Actions
